epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.9817,1.12657,3.04272,1.12228,0.0061,1,0.83101,0.55072,0.94191,2.78829,0.84165,0.00038583,0.00038583,0.00038583
2,5.26311,1.05424,1.64484,1.08302,1,0.54879,0.98267,0.68639,0.9089,2.40404,0.85622,0.000778169,0.000778169,0.000778169
3,7.50139,1.03311,1.38732,1.05465,0.99965,0.92487,0.99137,0.67662,1.16527,1.92343,1.18451,0.00116259,0.00116259,0.00116259
4,9.68164,1.03384,1.24408,1.04714,0.99759,0.99623,0.995,0.64968,1.11252,1.25951,0.98887,0.00138656,0.00138656,0.00138656
5,11.8574,0.9733,1.07974,1.01457,0.99511,1,0.995,0.71779,0.93425,0.91452,1.06153,0.00137241,0.00137241,0.00137241
6,14.0558,0.9377,0.98274,0.99898,0.99314,1,0.995,0.7558,0.91866,0.89349,1.01135,0.00135826,0.00135826,0.00135826
7,16.2547,0.94161,0.91881,1.00429,0.75006,0.98715,0.90711,0.65142,0.98865,1.36685,0.89732,0.00134412,0.00134412,0.00134412
8,18.4251,0.92254,0.86233,0.99313,0.96889,1,0.995,0.70473,0.97936,0.79674,1.02038,0.00132997,0.00132997,0.00132997
9,20.6049,0.92965,0.85639,1.00728,0.98749,1,0.995,0.74356,0.90789,0.74194,0.92656,0.00131582,0.00131582,0.00131582
10,22.7922,0.90373,0.75726,0.98902,0.99723,1,0.995,0.72824,0.95517,0.65502,0.94807,0.00130168,0.00130168,0.00130168
11,24.9793,0.89103,0.70853,0.99307,0.99819,1,0.995,0.73697,0.93584,0.57626,1.00324,0.00128753,0.00128753,0.00128753
12,27.1617,0.86758,0.67869,0.98455,0.99821,1,0.995,0.75341,0.90286,0.60484,0.94745,0.00127338,0.00127338,0.00127338
13,29.3307,0.85731,0.64358,0.97764,0.99576,1,0.995,0.73563,0.87019,0.56757,0.96578,0.00125923,0.00125923,0.00125923
14,31.5157,0.8672,0.64742,0.99022,0.99436,1,0.995,0.76925,0.90051,0.48646,1.01685,0.00124509,0.00124509,0.00124509
15,33.6985,0.86623,0.60059,0.99199,0.9944,1,0.995,0.75904,0.9044,0.51918,1.019,0.00123094,0.00123094,0.00123094
16,35.8689,0.83791,0.58833,0.97758,0.99492,1,0.995,0.73518,0.91376,0.52644,1.03745,0.00121679,0.00121679,0.00121679
17,38.0402,0.83629,0.58404,0.99804,0.99537,1,0.995,0.71484,0.99514,0.50716,1.09282,0.00120265,0.00120265,0.00120265
